report date,Number recovered,Number of deaths,Cumulative number of cases,currently infected,time,population,random graph probability,susceptible,theta,alpha,gamma,country,R0,beta,delta,epsilon,theta fitted,recovered fitted,death fitted,susceptible fitted,infected fitted,graph type
2003-05-28,3.0,2.0,5.0,0.0,48,24352687.0,0.0,24352682.0,0.9994224583664254,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224605323122,0,2,24352685,0,powerlaw
2003-05-29,3.0,2.0,5.0,0.0,49,24353671.0,0.0,24353666.0,0.9994224583665984,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224605422978,0,2,24353669,0,powerlaw
2003-05-30,3.0,2.0,5.0,0.0,50,24354656.0,0.0,24354651.0,0.9994224583667672,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224605522588,0,2,24354654,0,powerlaw
2003-05-31,3.0,2.0,5.0,0.0,51,24355640.0,0.0,24355635.0,0.9994224583669452,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224605621952,0,2,24355638,0,powerlaw
2003-06-02,3.0,2.0,5.0,0.0,53,24357610.0,0.0,24357605.0,0.9994224583672694,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224605819828,0,2,24357608,0,powerlaw
2003-06-03,3.0,2.0,5.0,0.0,54,24358594.0,0.0,24358589.0,0.9994224583674368,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224605918464,0,2,24358592,0,powerlaw
2003-06-04,3.0,2.0,5.0,0.0,55,24359579.0,0.0,24359574.0,0.9994224583676014,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224606016856,0,2,24359577,0,powerlaw
2003-06-05,3.0,2.0,5.0,0.0,56,24360564.0,0.0,24360559.0,0.999422458367772,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224606115012,0,2,24360562,0,powerlaw
2003-06-06,3.0,2.0,5.0,0.0,57,24361549.0,0.0,24361544.0,0.9994224583679386,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.9994224606212928,0,2,24361547,0,powerlaw
2003-06-09,3.0,2.0,5.0,0.0,60,24364504.0,0.0,24364499.0,0.999422458368437,5.270221066688841e-05,1.2273723564160125e-05,Malaysia,1.6338231135305452,0.00012439840475461352,0.01338553600611355,4.4675758179250515e-06,0.999422460650495,0,2,24364502,0,powerlaw
